Year,State,Accidents,Fatalities,Cause,Month
2016,Maharashtra,2170,546,Speeding,Apr
2021,Delhi,226,63,Weather,May
2021,Punjab,4222,1088,Overtaking,Mar
2019,Odisha,4842,913,Speeding,Nov
2021,Odisha,1148,204,Drunk Driving,Oct
2021,Madhya Pradesh,1843,364,Weather,Aug
2016,Uttar Pradesh,2303,344,Speeding,Nov
2018,Karnataka,2789,468,Vehicle Defect,Jul
2016,West Bengal,2545,725,Drunk Driving,Apr
2017,West Bengal,3031,327,Drunk Driving,May
2016,Kerala,2462,582,Speeding,Nov
2021,Gujarat,1384,347,Vehicle Defect,Dec
2017,West Bengal,1784,439,Weather,Feb
2023,Haryana,722,141,Vehicle Defect,Apr
2017,Punjab,1571,389,Drunk Driving,Apr
2016,Karnataka,3001,615,Speeding,Jul
2017,Haryana,2506,525,Weather,Aug
2016,Haryana,1346,160,Overtaking,Aug
2016,Madhya Pradesh,1010,223,Drunk Driving,Jul
2021,Madhya Pradesh,3959,650,Vehicle Defect,Jan
2019,Gujarat,2032,583,Overtaking,Jan
2023,Delhi,2888,340,Overtaking,Aug
2022,Punjab,1539,335,Weather,Jun
2022,Madhya Pradesh,3075,544,Drunk Driving,Aug
2018,Punjab,1852,412,Speeding,Mar
2015,Kerala,2828,815,Vehicle Defect,Sep
2020,Kerala,2948,736,Weather,May
2018,Odisha,2660,624,Overtaking,Aug
2023,Rajasthan,1601,315,Weather,Jan
2015,West Bengal,466,134,Overtaking,Sep
2016,Kerala,4656,1273,Overtaking,Sep
2016,Delhi,4260,940,Vehicle Defect,Feb
2022,Karnataka,561,67,Drunk Driving,Aug
2016,Tamil Nadu,252,32,Speeding,Aug
2016,Delhi,3841,430,Weather,Aug
2016,Uttar Pradesh,1941,334,Vehicle Defect,Mar
2021,Delhi,1092,175,Speeding,Dec
2017,West Bengal,4316,1285,Speeding,Aug
2022,Kerala,2273,324,Weather,Dec
2015,Uttar Pradesh,1823,263,Drunk Driving,Aug
2020,Madhya Pradesh,1704,233,Drunk Driving,Oct
2015,Bihar,1163,324,Overtaking,Jun
2017,Rajasthan,3565,734,Vehicle Defect,Aug
2015,Tamil Nadu,1249,215,Speeding,Feb
2017,Maharashtra,660,178,Speeding,Nov
2023,Odisha,4588,691,Weather,Dec
2021,Gujarat,2844,487,Vehicle Defect,Jun
2020,Maharashtra,3262,464,Overtaking,Mar
2019,Maharashtra,1907,320,Weather,Sep
2021,Delhi,1502,330,Drunk Driving,Jan
2015,Delhi,4196,1140,Vehicle Defect,Apr
2023,West Bengal,3017,875,Drunk Driving,Nov
2021,Maharashtra,2459,381,Weather,Mar
2019,Tamil Nadu,2902,423,Vehicle Defect,Nov
2021,Maharashtra,415,48,Weather,Jan
2020,Bihar,3800,757,Overtaking,Apr
2023,Madhya Pradesh,4854,773,Overtaking,Jan
2020,Kerala,2142,327,Speeding,Sep
2016,Tamil Nadu,139,24,Speeding,Nov
2018,Gujarat,1866,319,Overtaking,Nov
2019,Bihar,2536,462,Vehicle Defect,Jun
2016,Odisha,3317,829,Overtaking,Jun
2018,Madhya Pradesh,3970,677,Drunk Driving,Sep
2023,Odisha,1225,170,Speeding,Jan
2020,Tamil Nadu,3801,489,Speeding,Mar
2016,Odisha,346,43,Vehicle Defect,Nov
2017,Maharashtra,4886,778,Weather,Dec
